mcs,heterotypic_fraction,total_boundary,light_count,dark_count,mean_connectedness
8,0.50984,4696.0,48,33,1.0
16,0.50439,4460.0,48,33,1.0
24,0.49747,4276.0,48,33,0.99956
32,0.48032,4176.0,48,33,0.99748
40,0.48301,3970.0,48,33,0.99956
48,0.47623,3932.0,48,33,0.99945
56,0.47886,3854.0,48,33,1.0
64,0.46806,3860.0,48,33,1.0
72,0.45952,3765.0,48,33,0.99947
80,0.44612,3712.0,48,33,0.99891
88,0.4401,3700.0,48,33,0.99946
96,0.44771,3656.0,48,33,0.99952
104,0.43115,3643.0,48,33,0.99833
112,0.42273,3609.0,48,33,0.99715
120,0.41657,3595.0,48,33,0.99944
128,0.42598,3570.0,48,33,1.0
136,0.42644,3547.0,48,33,0.99945
144,0.41408,3513.0,48,33,0.99736
152,0.42219,3472.0,48,33,1.0
160,0.41392,3471.0,48,33,0.99821
168,0.41116,3473.0,48,33,1.0
176,0.42295,3454.0,48,33,0.99893
