mcs,heterotypic_fraction,total_boundary,light_count,dark_count,mean_connectedness
8,0.52809,4580.0,48,33,1.0
16,0.52969,4188.0,48,33,0.99918
24,0.52718,4039.0,48,33,1.0
32,0.53415,3921.0,48,33,1.0
40,0.5468,3864.0,48,33,0.99633
48,0.57027,3834.0,48,33,1.0
56,0.54625,3762.0,48,33,0.99893
64,0.57227,3743.0,48,33,0.99901
72,0.57632,3714.0,48,33,0.99909
80,0.59342,3725.0,48,33,1.0
88,0.58127,3671.0,48,33,1.0
96,0.59749,3672.0,48,33,0.99893
104,0.5985,3642.0,48,33,1.0
112,0.61527,3661.0,48,33,0.99897
120,0.61441,3658.0,48,33,1.0
128,0.61152,3627.0,48,33,0.99905
136,0.61778,3576.0,48,33,1.0
144,0.62399,3603.0,48,33,1.0
152,0.62899,3563.0,48,33,1.0
160,0.63608,3541.0,48,33,0.99893
168,0.62896,3542.0,48,33,1.0
176,0.63226,3542.0,48,33,1.0
