mcs,heterotypic_fraction,total_boundary,light_count,dark_count,mean_connectedness
8,0.39735,5448.0,39,42,0.9841
16,0.42048,5238.0,39,42,0.98542
24,0.3729,5313.0,39,42,0.96311
32,0.36827,5042.0,39,42,0.95925
40,0.3692,4969.0,39,42,0.94728
48,0.35294,4902.0,39,42,0.93974
56,0.35128,4879.0,39,42,0.91899
64,0.34468,4715.0,39,42,0.93073
72,0.32674,4918.0,39,42,0.91256
80,0.34285,4587.0,39,42,0.92808
88,0.35695,4507.0,39,42,0.93585
96,0.37124,4424.0,39,42,0.9429
104,0.34428,4334.0,39,42,0.93803
112,0.36471,4334.0,39,42,0.94763
120,0.34352,4507.0,39,42,0.9439
128,0.34039,4443.0,39,42,0.92949
136,0.35129,4367.0,39,42,0.92972
144,0.35149,4401.0,39,42,0.94626
152,0.37011,4189.0,39,42,0.95601
160,0.34887,4252.0,39,42,0.93979
168,0.35234,4127.0,39,42,0.94522
176,0.36305,4154.0,39,42,0.9634
